metric,value
symbols_tested,9
symbols_failed,0
total_setups,2320
total_trades,291
expired_setups,2029
win_trades,199
loss_trades,92
win_rate_pct,68.38
total_r,158.57
average_r,0.54
profit_factor,2.58
max_drawdown_pct,-11.41
cagr_pct,19.05
initial_equity,100000.0
final_equity,473819.5
risk_per_trade_pct,1.0
robustness,Broadly robust across the tested symbols.
AAPL_trades,32
AAPL_win_rate_pct,53.12
AAPL_total_r,8.32
AAPL_average_r,0.26
AMD_trades,44
AMD_win_rate_pct,63.64
AMD_total_r,18.18
AMD_average_r,0.41
AMZN_trades,25
AMZN_win_rate_pct,76.0
AMZN_total_r,19.76
AMZN_average_r,0.79
GOOGL_trades,28
GOOGL_win_rate_pct,78.57
GOOGL_total_r,27.31
GOOGL_average_r,0.98
META_trades,22
META_win_rate_pct,72.73
META_total_r,12.47
META_average_r,0.57
MSFT_trades,24
MSFT_win_rate_pct,70.83
MSFT_total_r,22.09
MSFT_average_r,0.92
NFLX_trades,31
NFLX_win_rate_pct,70.97
NFLX_total_r,18.74
NFLX_average_r,0.6
NVDA_trades,42
NVDA_win_rate_pct,78.57
NVDA_total_r,31.19
NVDA_average_r,0.74
TSLA_trades,43
TSLA_win_rate_pct,58.14
TSLA_total_r,0.51
TSLA_average_r,0.01
profitable_symbols,9
