metric,value
symbols_tested,9
symbols_failed,1
total_setups,2035
total_trades,248
expired_setups,1787
win_trades,174
loss_trades,74
win_rate_pct,70.16
total_r,158.07
average_r,0.64
profit_factor,2.98
max_drawdown_pct,-9.93
cagr_pct,19.03
initial_equity,100000.0
final_equity,472828.49
risk_per_trade_pct,1.0
robustness,Broadly robust across the tested symbols.
AAPL_trades,32
AAPL_win_rate_pct,53.12
AAPL_total_r,8.32
AAPL_average_r,0.26
AMD_trades,44
AMD_win_rate_pct,63.64
AMD_total_r,18.18
AMD_average_r,0.41
AMZN_trades,25
AMZN_win_rate_pct,76.0
AMZN_total_r,19.76
AMZN_average_r,0.79
GOOGL_trades,28
GOOGL_win_rate_pct,78.57
GOOGL_total_r,27.31
GOOGL_average_r,0.98
META_trades,22
META_win_rate_pct,72.73
META_total_r,12.47
META_average_r,0.57
MSFT_trades,24
MSFT_win_rate_pct,70.83
MSFT_total_r,22.09
MSFT_average_r,0.92
NFLX_trades,31
NFLX_win_rate_pct,70.97
NFLX_total_r,18.74
NFLX_average_r,0.6
NVDA_trades,42
NVDA_win_rate_pct,78.57
NVDA_total_r,31.19
NVDA_average_r,0.74
profitable_symbols,8
failed_TSLA,No setups found
