date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2017-06-12,AAPL,LOSS,-1.0,-1.0,99000.0,-1.0000000000000009
2017-06-12,NFLX,LOSS,-1.0,-1.0,98010.0,-1.9900000000000029
2017-07-03,NFLX,LOSS,-1.0,-1.0,97029.9,-2.970100000000009
2017-07-12,NVDA,WIN,0.9288220416107649,0.9288220416107649,97931.13509815287,-2.068864901847134
2017-09-15,NVDA,WIN,1.3670334743743502,1.3670334743743502,99269.88649677938,-0.7301135032206196
2017-10-26,AMD,PARTIAL_WIN,0.49881464386470575,0.49881464386470575,99765.05922757318,-0.2349407724268282
2017-10-27,MSFT,WIN,2.1319680126854306,2.1319680126854306,101892.0183781417,0.0
2017-10-27,NVDA,WIN,1.8201974191418056,1.8201974191418053,103746.65426697214,0.0
2017-10-30,META,WIN,2.1948397039379968,2.1948397039379968,106023.72702633092,0.0
2017-11-08,AAPL,WIN,2.8752841769062343,2.8752841769062343,109072.21047328527,0.0
2017-11-22,AMZN,WIN,1.8534676268061225,1.8534676268061225,111093.82858424945,0.0
2018-01-05,NFLX,WIN,2.1759904865999364,2.1759904865999364,113511.21972544235,0.0
2018-01-11,NVDA,WIN,1.5633364991191767,1.5633364991191767,115285.78205400555,0.0
2018-01-16,AMZN,WIN,1.631092352867349,1.631092352867349,117166.19962903176,0.0
2018-01-16,GOOGL,WIN,1.8007471314362098,1.80074713143621,119276.06660786437,0.0
2018-01-29,MSFT,WIN,1.8407893619313533,1.8407893619313533,121471.68775331209,0.0
2018-02-06,AAPL,LOSS,-1.0799498698226033,-1.0799498698226033,120159.85441954886,-1.079949869822605
2018-02-08,GOOGL,LOSS,-1.0,-1.0,118958.25587535338,-2.069150371124384
2018-02-09,MSFT,LOSS,-1.0,-1.0,117768.67331659984,-3.0484588674131397
2018-02-15,NFLX,WIN,1.0163576543623392,1.0163576543623392,118965.62424229408,-2.0630844580898366
2018-02-15,NVDA,WIN,2.0298508352605786,2.0298508352605786,121380.44895964925,-0.07511115993392714
2018-02-20,AMZN,WIN,1.5809320899419819,1.5809320899419819,123299.391428168,0.0
2018-03-13,AMD,LOSS,-1.0,-1.0,122066.39751388632,-1.0000000000000009
2018-03-20,META,PARTIAL_WIN,0.26649578792389805,0.26649578792389805,122391.69932173127,-0.7361691699553474
2018-03-23,GOOGL,LOSS,-1.0,-1.0,121167.78232851396,-1.7288074782557894
2018-03-27,NVDA,LOSS,-1.0,-1.0,119956.10450522882,-2.711519403473228
2018-04-13,NFLX,WIN,1.0484095112485439,1.0484095112485439,121213.73571418488,-1.6915377195500514
2018-04-27,AAPL,LOSS,-1.0,-1.0,120001.59835704303,-2.67462234235456
2018-06-05,AMZN,WIN,1.415264972626869,1.415264972626869,121699.93894518264,-1.2972103628890785
2018-06-05,NFLX,WIN,1.7872138426241668,1.787213842624167,123874.97710047611,0.0
2018-07-09,AMD,WIN,0.9284390597631716,0.9284390597631716,125025.0807731496,0.0
2018-07-20,MSFT,WIN,2.2389000329800743,2.2389000329800743,127824.26734781303,0.0
2018-07-26,AMD,WIN,1.2636958101606077,1.2636958101606077,129439.57725865585,0.0
2018-07-26,GOOGL,WIN,2.9852763580339996,2.9852763580339996,133303.70635649766,0.0
2018-07-26,META,PARTIAL_WIN,-0.11056376769971676,-0.11056376769971678,133156.32075626656,-0.11056376769970067
